Date,Cumulative Returns
02/2006,1.0012906605783616
03/2006,1.351673724507211
04/2006,1.302780116851019
05/2006,1.3768822103291356
06/2006,1.0887062336108055
07/2006,0.9104566012880158
08/2006,1.3700685034519398
09/2006,1.3624873271086249
10/2006,1.6404544993142516
11/2006,1.7223353027993025
12/2006,1.7168006055953131
01/2007,1.5407370173061374
02/2007,1.4494145894008876
03/2007,1.5123890954371435
04/2007,1.4412986433835788
05/2007,1.7416601719471763
06/2007,1.8981198408776452
07/2007,2.1969698118970586
08/2007,2.4566120527141644
09/2007,2.292048113991733
10/2007,2.9496296355939413
11/2007,2.397021141712238
12/2007,2.398346682662661
01/2008,1.9536993318511544
02/2008,1.6480588400154095
03/2008,1.3552899759276238
04/2008,1.4975059159451325
05/2008,1.677081002406261
06/2008,1.5676196741749318
07/2008,0.9374324075233277
08/2008,0.90816597401294
09/2008,0.798425617273799
10/2008,0.6244317176964194
11/2008,0.49487810691723494
12/2008,0.6098508178821478
01/2009,0.5621664537292838
02/2009,0.5555387525943384
03/2009,0.7206725276470896
04/2009,0.8246921796314056
05/2009,0.7010685883939469
06/2009,0.853051640273279
07/2009,0.8961664676987949
08/2009,0.9943258283309768
09/2009,1.1161703578206386
10/2009,1.0317547246672092
11/2009,0.9080613509826062
12/2009,1.2537122158496243
01/2010,1.1552388631426551
02/2010,1.1027405645419506
03/2010,1.389579381959234
04/2010,1.2406660053828482
05/2010,0.9492925225673527
06/2010,0.8911084954388947
07/2010,0.7577526401571425
08/2010,0.7272304372919653
09/2010,0.7921467885857025
10/2010,0.8322617014523954
11/2010,0.9533737214257437
12/2010,1.1311698510370105
01/2011,1.515749533347971
02/2011,1.5800727446924931
03/2011,1.5149820566475116
04/2011,1.2775019679485664
05/2011,1.3795333139330033
06/2011,1.2892922390535546
07/2011,1.0245689339621094
08/2011,1.0483239359071161
09/2011,1.0290687696286422
10/2011,1.065730268842159
11/2011,1.0696371200977948
12/2011,1.0503470951502805
01/2012,1.0052788873115739
02/2012,1.1038568413458558
03/2012,1.1352511258559752
04/2012,0.9718265668033985
05/2012,0.965338419711231
06/2012,0.9205492837863782
07/2012,0.9570363992254383
08/2012,1.1491343639714633
09/2012,0.8944920362156724
10/2012,0.9313977342053219
11/2012,0.8890773856556713
12/2012,0.8641724129665179
01/2013,0.9112867382275319
02/2013,0.8308232505347527
03/2013,0.8938115596924217
04/2013,0.9962834480676205
05/2013,1.1163534011005103
06/2013,1.0163616254603522
07/2013,1.1200995631879969
08/2013,1.1582820354396806
09/2013,1.108013490757065
10/2013,1.2685439808846735
11/2013,1.105763567498043
12/2013,1.1712700745755955
01/2014,1.191790414851331
02/2014,1.1814427869642263
03/2014,1.3789403005847438
04/2014,1.4081658853922703
05/2014,1.3978105131438068
06/2014,1.4448445625469795
07/2014,1.478983646220181
08/2014,1.4307872770538612
09/2014,1.4653083845386266
10/2014,1.5092346047277772
11/2014,1.3935963507267086
12/2014,1.6407274075701146
01/2015,1.4494169477958452
02/2015,1.4890067379814185
03/2015,1.8077869332816239
04/2015,1.703460467496746
05/2015,1.57823942539197
06/2015,1.7389656912384897
07/2015,1.6068307828141883
08/2015,1.721830374779306
09/2015,1.7802685298160454
10/2015,2.2018985318148574
11/2015,2.252337329463583
12/2015,2.691475491355221
01/2016,2.062067638065676
02/2016,2.125191178747756
03/2016,2.7311989432133466
04/2016,2.8367868681617097
05/2016,3.1668293253839788
06/2016,3.8442765264822585
07/2016,3.941883027972368
08/2016,5.196159099161416
09/2016,4.995496713553112
10/2016,5.356255514398547
11/2016,6.525466073553482
12/2016,7.84183254927733
01/2017,7.9121429007065025
02/2017,7.8696210974807554
03/2017,8.963224436941973
04/2017,7.211678097593615
05/2017,10.343706527379279
06/2017,12.497777583511622
07/2017,11.978277865782923
08/2017,14.290026665670062
09/2017,13.101680118759798
10/2017,15.931870860065077
11/2017,16.61403477873681
12/2017,14.530868505312608
01/2018,17.978498042931875
02/2018,16.924504308514486
03/2018,19.042022470968014
04/2018,17.865242708303068
05/2018,20.4120771278925
06/2018,20.289509287350295
07/2018,19.672482732687566
08/2018,22.601155996226225
09/2018,19.473069934690212
10/2018,20.808587619221512
11/2018,14.344304937545445
12/2018,10.298590055638838
01/2019,11.488334016671034
02/2019,10.981690242640386
03/2019,13.271313998958256
04/2019,14.843033880220883
05/2019,13.292364308923155
06/2019,11.31856789273073
07/2019,13.973887091414532
08/2019,13.342956423947198
09/2019,13.418424252370796
10/2019,16.598316698492148
11/2019,15.945339870702869
12/2019,17.869421899918844
01/2020,19.47307867377337
02/2020,19.4994518377534
03/2020,20.307500397337094
04/2020,22.04624493479068
05/2020,24.81340952410385
06/2020,30.41500834515523
07/2020,34.123225999125424
08/2020,38.14137425345359
09/2020,40.69484869787678
10/2020,45.258818209660845
11/2020,30.58322585726001
