Date,Cumulative Returns
02/2006,0.9424447899329164
03/2006,1.2212123641423727
04/2006,1.068635524602237
05/2006,1.232332819664916
06/2006,1.2330103691034557
07/2006,1.1745784172454672
08/2006,1.3998165341045503
09/2006,1.340866402611857
10/2006,1.6293593295850077
11/2006,1.5814498492983677
12/2006,1.4141654554711953
01/2007,1.3845109958663189
02/2007,1.2771730889194788
03/2007,1.520706248033143
04/2007,1.4941207031352939
05/2007,1.6693370330267718
06/2007,1.6300369984381198
07/2007,1.6906611939764218
08/2007,1.806249696985523
09/2007,1.5832833362209553
10/2007,1.9988039967155162
11/2007,1.7312765668122903
12/2007,1.7260551159816695
01/2008,1.7799432062524343
02/2008,1.5413924830684957
03/2008,1.563792719689798
04/2008,1.8317586575940965
05/2008,1.8332734447138708
06/2008,1.86946456955925
07/2008,1.8459881953476285
08/2008,1.887639838997667
09/2008,1.6490892352283009
10/2008,1.6088723576662116
11/2008,1.2811589969738495
12/2008,1.4788153020026829
01/2009,1.3728326221930183
02/2009,1.2870181260440985
03/2009,1.4225754080690058
04/2009,1.6074710011219757
05/2009,1.502239660111099
06/2009,1.8141405765507168
07/2009,1.8872647268662779
08/2009,1.8362845760361197
09/2009,1.8314373527844996
10/2009,1.87923624633153
11/2009,1.7676654421896416
12/2009,2.0764649012398593
01/2010,1.8713961843010551
02/2010,1.827971039648655
03/2010,2.3360045488637318
04/2010,2.2052846627134084
05/2010,1.8981956449257762
06/2010,1.9924906013433936
07/2010,1.995511675034489
08/2010,2.063019669552635
09/2010,2.1760608385933473
10/2010,2.4123481779711278
11/2010,2.4083816239230176
12/2010,2.7032013162776427
01/2011,2.567964737566708
02/2011,2.5389372486947974
03/2011,2.984268863802807
04/2011,2.777403780182399
05/2011,2.9457552139785754
06/2011,2.8529960881820546
07/2011,2.63299865674528
08/2011,2.5601157592481574
09/2011,2.417801142698389
10/2011,2.6819801260715375
11/2011,2.6860236361774468
12/2011,2.4810933870695377
01/2012,2.258387270463189
02/2012,2.3554421187881505
03/2012,2.666526818934046
04/2012,2.3696132672385177
05/2012,2.4481310553526443
06/2012,2.3627302024371564
07/2012,2.5632049611642143
08/2012,2.965433028331709
09/2012,2.510263368485711
10/2012,2.6843714426896432
11/2012,2.658027738837571
12/2012,2.699720629165485
01/2013,3.029421733871464
02/2013,2.7409841046908805
03/2013,2.85639207055749
04/2013,2.969940256181764
05/2013,3.093822083556253
06/2013,2.7137854190366597
07/2013,2.8944228786149373
08/2013,2.9673485619110913
09/2013,2.7507121730304065
10/2013,3.1665266818284254
11/2013,2.8776970986389756
12/2013,3.115982040366743
01/2014,3.3054067406730963
02/2014,2.992963323830853
03/2014,3.4009904987662756
04/2014,3.529224447729496
05/2014,3.658259854229836
06/2014,3.672212677459674
07/2014,3.7406119469644676
08/2014,3.5909579073450653
09/2014,3.5560370528027088
10/2014,3.7207084567604563
11/2014,3.2556196210313972
12/2014,4.001005099187999
01/2015,3.663119443523846
02/2015,3.498742701657754
03/2015,4.012287989488403
04/2015,3.8624605068366646
05/2015,3.7293188489294993
06/2015,3.9978074423035883
07/2015,3.741103899620853
08/2015,3.4485371710452495
09/2015,3.283947924313346
10/2015,3.5423143547222615
11/2015,3.3583359496181604
12/2015,3.542129500964114
01/2016,2.8486578806023934
02/2016,3.102351530336224
03/2016,3.7390109602144346
04/2016,3.68205970924993
05/2016,3.5888611643633768
06/2016,3.7338648290196943
07/2016,3.552684740778694
08/2016,4.093238261288797
09/2016,3.6287824820131362
10/2016,3.498165301240641
11/2016,3.6006509385644847
12/2016,3.5941401022537263
01/2017,3.432130422579248
02/2017,3.4202345197825683
03/2017,4.396747185966853
04/2017,3.691362051370398
05/2017,4.3392370217301535
06/2017,4.530347997327839
07/2017,4.409446616153242
08/2017,4.976302868048783
09/2017,4.376997696333679
10/2017,4.772041906660105
11/2017,4.574855453746231
12/2017,4.2761155578886525
01/2018,4.64043724698319
02/2018,4.170973538977966
03/2018,4.610424278295256
04/2018,4.266423252002193
05/2018,4.542334867492152
06/2018,4.291558462690055
07/2018,4.461884650848024
08/2018,4.973294487684464
09/2018,4.215247933533037
10/2018,4.9694502230040625
11/2018,4.624890301129852
12/2018,3.9254950722515236
01/2019,4.5600530356382905
02/2019,4.411965449843675
03/2019,5.001706186565599
04/2019,5.162629494378623
05/2019,5.336406887517641
06/2019,4.898164358307797
07/2019,5.829777375235681
08/2019,5.320304124325469
09/2019,4.879743307142713
10/2019,5.738468057340476
11/2019,5.118759853305482
12/2019,5.192179877549471
01/2020,5.203906866222043
02/2020,4.6918296876816274
03/2020,4.748181194435684
04/2020,5.053085642034974
05/2020,4.845525087944635
06/2020,5.446489750704748
07/2020,5.687634830662048
08/2020,5.3915484327505245
09/2020,5.704940708939907
10/2020,6.049157619088907
11/2020,3.9416834778059515
