Date,Cumulative Returns
01/2014,1.7584263205510198
02/2014,1.7454672288675044
03/2014,1.6886913135466013
04/2014,1.8897605804174509
05/2014,2.1170966859606897
06/2014,2.171954911200496
07/2014,2.6347048069297765
08/2014,3.4201534016839092
01/2015,2.970943769249654
02/2015,3.441829385869098
03/2015,4.1088447207725505
04/2015,3.8983612286211495
05/2015,4.118723817946233
06/2015,4.648709931033851
07/2015,4.352161809757292
08/2015,4.5933286646445834
09/2015,4.552591796722746
10/2015,4.9625755431374206
11/2015,4.9578684221840845
12/2015,4.980125522560379
01/2016,3.5507903232294225
02/2016,3.2591236644139796
03/2016,4.253603005178074
04/2016,4.375581131431718
05/2016,4.853440286437479
06/2016,5.307066470645437
07/2016,5.352394265101
08/2016,6.723907527774574
09/2016,6.0843793833036885
10/2016,6.128486753952548
11/2016,5.3106113813847236
12/2016,5.56630638489943
01/2017,5.6072757192490545
02/2017,5.5807764086068365
03/2017,7.498953923243116
04/2017,6.488493776382813
05/2017,8.236750425038476
06/2017,8.816538876266398
07/2017,8.019642011011834
08/2017,9.51470242917275
09/2017,8.680904220251593
10/2017,10.077347753249605
11/2017,9.920618362249686
12/2017,9.288179950584729
01/2018,10.718503040790116
02/2018,10.108612354101492
03/2018,13.207461683524022
04/2018,13.595420740569784
05/2018,13.424279339941656
06/2018,13.087749930367034
07/2018,13.163121901867779
08/2018,18.870176539148495
09/2018,17.246803741795055
10/2018,17.819095763122288
11/2018,15.126336608527746
12/2018,13.914981353417039
01/2019,16.170385998349648
02/2019,19.191771302514393
03/2019,22.221118257621505
04/2019,23.25389345243282
05/2019,26.454672388431778
06/2019,25.488493809635063
07/2019,30.316073893532465
08/2019,30.973849449961914
09/2019,25.611924803955034
10/2019,28.016562143968933
11/2019,27.747152386016328
12/2019,32.2502328793098
01/2020,36.30479967635371
02/2020,33.523651627383046
03/2020,28.927126657426168
04/2020,26.11976998891781
05/2020,31.210367330984038
06/2020,40.116166931090355
07/2020,38.29980281752681
08/2020,35.816887127002815
09/2020,34.519641772704105
10/2020,46.852916984812126
11/2020,33.362680092621694
