Date,Cumulative Returns
02/2006,1.029738017247714
03/2006,1.1998028516628445
04/2006,1.0537032347204431
05/2006,1.1813803227110105
06/2006,1.0666339285214315
07/2006,0.9682571664247989
08/2006,1.1565259761217759
09/2006,0.9498527222701693
10/2006,0.9933470325304078
11/2006,0.955361189545228
12/2006,0.9472514266340729
01/2007,1.0482217155109064
02/2007,1.0879202059682214
03/2007,1.2848620868824376
04/2007,1.2221604852559897
05/2007,1.3861783131460126
06/2007,1.2852513050904943
07/2007,1.2454487227610747
08/2007,1.251040630394904
09/2007,1.0253619919998254
10/2007,1.2647076478182981
11/2007,1.1820670100677646
12/2007,1.24070379709629
01/2008,1.236910112133742
02/2008,1.0426919930779934
03/2008,0.9802134454631983
04/2008,1.0723914457839347
05/2008,1.14631841599634
06/2008,1.157434294263266
07/2008,1.0291274970694162
08/2008,0.9227440235057801
09/2008,0.8136333109930876
10/2008,0.6380289878637857
11/2008,0.46935863118196824
12/2008,0.5135605232424071
01/2009,0.5018386791233179
02/2009,0.4016899185382702
03/2009,0.4977518989810024
04/2009,0.6138599912887716
05/2009,0.6146714048540881
06/2009,0.6822868961726076
07/2009,0.6383768318838282
08/2009,0.6714832419913659
09/2009,0.6756933999574317
10/2009,0.7349772988190597
11/2009,0.6551745681795799
12/2009,0.7362354976673874
01/2010,0.7184691867470855
02/2010,0.7594772962597051
03/2010,1.0060684040056533
04/2010,0.8877704329289909
05/2010,0.7508441171114143
06/2010,0.7278340149535113
07/2010,0.6944179548379376
08/2010,0.7688733520277622
09/2010,0.7454778400207255
10/2010,0.803391853528631
11/2010,0.8400567554429973
12/2010,0.9288310521533304
01/2011,0.8376335864709262
02/2011,0.7950520284401762
03/2011,0.8970829133771042
04/2011,0.7102014186559045
05/2011,0.6915498655008845
06/2011,0.6609571489588599
07/2011,0.628553690256363
08/2011,0.5997006624978973
09/2011,0.49204034090564136
10/2011,0.5024252768202117
11/2011,0.43747069226105667
12/2011,0.44285373889097135
01/2012,0.42536778649644924
02/2012,0.4803440621135092
03/2012,0.5525060407762262
04/2012,0.43171093218923917
05/2012,0.38130068015965257
06/2012,0.3392780699621738
07/2012,0.31982740311239183
08/2012,0.3253709701078323
09/2012,0.2800139968968841
10/2012,0.30414715391890385
11/2012,0.26725123896442704
12/2012,0.2578808675345433
01/2013,0.319361830007156
02/2013,0.34014016512877393
03/2013,0.4041916766283958
04/2013,0.4513383797720738
05/2013,0.529171042905398
06/2013,0.49863129003540324
07/2013,0.5943003580146933
08/2013,0.5500109374988567
09/2013,0.5253644900084482
10/2013,0.564134246379532
11/2013,0.4412476211804957
12/2013,0.4590292943630633
01/2014,0.44316697273161454
02/2014,0.3984651660819677
03/2014,0.4628285299105878
04/2014,0.48703534260632353
05/2014,0.4397392006363566
06/2014,0.42994091272239027
07/2014,0.4669525581097778
08/2014,0.47955572568188426
09/2014,0.4897280069566541
10/2014,0.5055473876235602
11/2014,0.4909745966902499
12/2014,0.5759929386743735
01/2015,0.5417612198511272
02/2015,0.6313670344338999
03/2015,0.7472637247869394
04/2015,0.7935002154250238
05/2015,0.7832406339019308
06/2015,0.8292403314809339
07/2015,0.7793886751586485
08/2015,0.686728691680939
09/2015,0.6611310918265164
10/2015,0.7499994049439175
11/2015,0.68761723923748
12/2015,0.6833900540790395
01/2016,0.5330999810480153
02/2016,0.5409665733711969
03/2016,0.6755939335728065
04/2016,0.6907980900510702
05/2016,0.6818744572812468
06/2016,0.782105441120667
07/2016,0.761333775534843
08/2016,0.9461574043721429
09/2016,0.8675409431833717
10/2016,0.8589888094464878
11/2016,0.7940685099329964
12/2016,0.7553981929543022
01/2017,0.7559896443457512
02/2017,0.7515726915086399
03/2017,0.9241281264056346
04/2017,0.7837488878647205
05/2017,0.9854815051735731
06/2017,1.0512408705698433
07/2017,1.0040193155056871
08/2017,1.1400305013232876
09/2017,0.9691725761624779
10/2017,1.0464518494090258
11/2017,1.2329023885659072
12/2017,1.1455756829451273
01/2018,1.2985967223074268
02/2018,1.1874605983922222
03/2018,1.3174162432308918
04/2018,1.3050424924762933
05/2018,1.3221544797291664
06/2018,1.3240713259101435
07/2018,1.3960863576205964
08/2018,1.6069775358403247
09/2018,1.3992562029639748
10/2018,1.6372912532836592
11/2018,1.3956390226775346
12/2018,1.2075487150820283
01/2019,1.3118482359939112
02/2019,1.115017592532459
03/2019,1.2062167808102005
04/2019,1.2470351398210258
05/2019,1.403401636005229
06/2019,1.3005457726781615
07/2019,1.5394014360074935
08/2019,1.560355949444564
09/2019,1.518352307426514
10/2019,1.7285616421686847
11/2019,1.585090519219532
12/2019,1.799669170412365
01/2020,1.9161609217547757
02/2020,1.6485592499696209
03/2020,1.642836169890831
04/2020,1.668910540947103
05/2020,1.6398738212165984
06/2020,1.9573351512946877
07/2020,2.12386211351641
08/2020,2.182591690032247
09/2020,2.0965493191044384
10/2020,2.143687360194639
11/2020,1.7017810953622532
