Date,Cumulative Returns
01/2015,3.152120850318406
01/2016,2.3129576078190874
02/2016,2.1812899517360997
03/2016,3.1831493229549626
04/2016,3.534921564028091
05/2016,2.5278326662323316
06/2016,2.3460778800036106
07/2016,2.2047646699186902
08/2016,3.0780941010007035
09/2016,2.8417199208710757
10/2016,2.7590935450324063
11/2016,2.9715281724868223
12/2016,3.382916894625859
01/2017,3.40278906236969
02/2017,3.3307379206009884
03/2017,4.536083661342437
04/2017,3.8317257243754885
05/2017,5.21929108583828
06/2017,6.081348031111394
07/2017,5.9628123096357175
08/2017,6.770482245005857
09/2017,6.430563593812764
10/2017,8.302730960828809
11/2017,9.954328897279298
12/2017,8.549331654955198
01/2018,10.279256209397838
02/2018,9.541080726341848
03/2018,12.716560091761083
04/2018,11.712376437251187
05/2018,13.819174816259757
06/2018,15.375130601014854
07/2018,16.457873434839517
08/2018,20.083323760571105
09/2018,19.925392279604665
10/2018,21.222893481117932
11/2018,17.276002135210838
12/2018,13.200580982160409
01/2019,16.322370600498395
02/2019,16.601394270739206
03/2019,18.44938984515841
04/2019,18.03346877060186
05/2019,16.86647286187021
06/2019,16.249505981743415
07/2019,20.118419329986427
08/2019,16.49889599314373
09/2019,13.903195728824667
10/2019,16.50168517742414
11/2019,15.097966357406865
12/2019,15.926554288256664
01/2020,16.895177206374832
02/2020,17.810110244418237
03/2020,14.572690170056024
04/2020,14.113538578896701
05/2020,17.639976741651168
06/2020,24.297269050253966
07/2020,31.761882740395592
08/2020,36.230563538398776
09/2020,37.021266538228154
10/2020,45.54793760587181
11/2020,31.30121998828214
