Date,Cumulative Returns
02/2006,1.0259433744341924
03/2006,1.2170821652440063
04/2006,1.0431924417150458
05/2006,1.144806766761316
06/2006,1.0163280205107914
07/2006,0.9623101546555263
08/2006,1.0211765262911763
09/2006,0.9236875166650739
10/2006,1.0181379318908874
11/2006,1.0833655073267805
12/2006,1.1157423107982287
01/2007,1.1328250423362527
02/2007,1.0752427161359468
03/2007,1.1448524972782188
04/2007,0.9417885834454045
05/2007,1.0024310358185378
06/2007,0.9492994201009262
07/2007,1.0545830188849885
08/2007,1.18954375615976
09/2007,1.0329111988260955
10/2007,1.3178685215369383
11/2007,1.200516087748049
12/2007,1.1471092979373765
01/2008,0.9935651779774598
02/2008,0.9703275024602639
03/2008,0.9326636618410763
04/2008,0.9641552161642963
05/2008,0.9339927413006808
06/2008,0.9424802391387536
07/2008,0.7734247800406235
08/2008,0.7165158957260774
09/2008,0.6060604908269748
10/2008,0.4323908659728917
11/2008,0.22152504543441998
12/2008,0.2222202947148066
01/2009,0.19622714118148052
02/2009,0.1799571693074634
03/2009,0.2252744788254056
04/2009,0.31397687239831984
05/2009,0.3611966445686466
06/2009,0.46500399394780767
07/2009,0.542007873978819
08/2009,0.5860229505035506
09/2009,0.6982567531156598
10/2009,0.7493088028018069
11/2009,0.7078038367602681
12/2009,0.8444879908288645
01/2010,0.7805496197738163
02/2010,0.8174156263213233
03/2010,1.0047932273643456
04/2010,0.9041906331301512
05/2010,0.774790070117699
06/2010,0.7219002930953035
07/2010,0.6388230024738016
08/2010,0.5556785860614166
09/2010,0.5296370971637053
10/2010,0.6438206486786671
11/2010,0.6751511522032277
12/2010,0.732590294916124
01/2011,0.6330186112913899
02/2011,0.5894069545049323
03/2011,0.6957691386448189
04/2011,0.7501124328122594
05/2011,0.8090974041950216
06/2011,0.7641840236599736
07/2011,0.7179350047346096
08/2011,0.6092537748431222
09/2011,0.5394116416554172
10/2011,0.6132213189299864
11/2011,0.8243296667813996
12/2011,0.7793497589491459
01/2012,0.8928207862412136
02/2012,1.240498153377507
03/2012,1.410387667664678
04/2012,1.3277913752119115
05/2012,1.4988141600272127
06/2012,1.1612435556230778
07/2012,1.3272402150343676
08/2012,1.8234121234743266
09/2012,1.3952538835379735
10/2012,1.434748152320518
11/2012,1.3879562016306852
12/2012,1.4047064856806846
01/2013,1.757662847049683
02/2013,1.5569756041097174
03/2013,1.6792457414479864
04/2013,1.9324146919711929
05/2013,2.24590962121076
06/2013,2.156710942505602
07/2013,2.438064045291424
08/2013,2.1882784040269385
09/2013,2.04899484841842
10/2013,2.720760482886257
11/2013,2.433455426976868
12/2013,2.771071800397499
01/2014,3.0564616415392165
02/2014,2.4159314481001806
03/2014,2.7850287149566535
04/2014,2.9226589790305435
05/2014,2.743432662377353
06/2014,2.9817444308518306
07/2014,3.3342663628101414
08/2014,3.1936739120287916
09/2014,3.2094323135570377
10/2014,3.3206897402335827
11/2014,3.1735206769275672
12/2014,3.8384963341247245
01/2015,3.2893720150740315
02/2015,3.041851409881705
03/2015,3.2269457925446465
04/2015,3.12971890564948
05/2015,3.016541595254587
06/2015,3.1094071362230125
07/2015,2.8148213242275304
08/2015,2.848159060047689
09/2015,2.6562118267782613
10/2015,2.5282058380335264
11/2015,1.967501387315344
12/2015,2.136442376622733
01/2016,1.59736470843922
02/2016,1.7206467410878272
03/2016,2.1383923180235525
04/2016,1.7152308773010123
05/2016,1.2128254227122344
06/2016,1.4864544920947453
07/2016,1.6560670263079338
08/2016,2.1355535960118113
09/2016,2.22328265424204
10/2016,2.20268173887011
11/2016,2.28691107907136
12/2016,2.433675875648049
01/2017,2.341645439857573
02/2017,2.6590663476231033
03/2017,3.2319038961672404
04/2017,2.6998940183195903
05/2017,2.8518716388280074
06/2017,2.785771155113517
07/2017,2.295463679721687
08/2017,2.2727025171706083
09/2017,2.023908534430242
10/2017,2.4302176601806376
11/2017,2.5239139103734507
12/2017,2.5959984278726083
01/2018,3.3453298859350853
02/2018,3.0833167178421927
03/2018,3.8941126225942546
04/2018,3.983534087945895
05/2018,4.024982330086665
06/2018,3.8912136312192
07/2018,3.8952421446619843
08/2018,4.032093204967383
09/2018,3.0177856361125404
10/2018,3.2904774853958445
11/2018,3.004416267346552
12/2018,2.447223077535409
01/2019,2.8357334213121375
02/2019,2.9123946514629018
03/2019,3.320915221851596
04/2019,3.4624760704027917
05/2019,3.4163847353116554
06/2019,3.0756323110202657
07/2019,3.5835574872987035
08/2019,3.4916281444402815
09/2019,3.730244381698351
10/2019,4.389916796918957
11/2019,4.094963922801119
12/2019,4.317095656201487
01/2020,4.45489681647003
02/2020,3.6031426224013363
03/2020,3.6017962426244923
04/2020,3.7269850481299507
05/2020,3.5427660202197613
06/2020,4.043153802123233
07/2020,3.793649781883703
08/2020,3.4582089014811634
09/2020,3.651705183386441
10/2020,4.053710082606685
11/2020,2.9552491647478214
