Date,Cumulative Returns
02/2006,0.992588426087614
03/2006,1.1007411425404932
04/2006,0.9491566784523214
05/2006,1.0712172263152562
06/2006,0.9644675618848663
07/2006,0.792600692184583
08/2006,0.9346081858831178
09/2006,0.8372220433154292
10/2006,0.9250617306814959
11/2006,0.9090493073151326
12/2006,0.9187787670154968
01/2007,0.9408301841450978
02/2007,0.9092933329081894
03/2007,1.1055601444702792
04/2007,1.0289444339495737
05/2007,1.1381948927556198
06/2007,1.102357522427611
07/2007,1.1087320966296668
08/2007,1.074450199568958
09/2007,0.8245036050153662
10/2007,0.9294537551158727
11/2007,0.7228779737326076
12/2007,0.6451032213129432
01/2008,0.6210388134813754
02/2008,0.6789580851879473
03/2008,0.7449293908622087
04/2008,0.8667154412587456
05/2008,0.8776344147314096
06/2008,0.7486808624241232
07/2008,0.6728276015509597
08/2008,0.6102418481643818
09/2008,0.5488760541252494
10/2008,0.40753957589080214
11/2008,0.2415896415221248
12/2008,0.2676975575641036
01/2009,0.3051514346293481
02/2009,0.2665080755043332
03/2009,0.2808735210335964
04/2009,0.3283313521716977
05/2009,0.39436360004568816
06/2009,0.4656418691125958
07/2009,0.4879677883494526
08/2009,0.5178576857270268
09/2009,0.5590325114314074
10/2009,0.6459877286186405
11/2009,0.5312471456789876
12/2009,0.6825876166601079
01/2010,0.609357328483063
02/2010,0.5634245173023525
03/2010,0.759325326054768
04/2010,0.7710678166778681
05/2010,0.6918290715829378
06/2010,0.7248604368709378
07/2010,0.6515386557262376
08/2010,0.6668801038492825
09/2010,0.6567846660904862
10/2010,0.7230609472922969
11/2010,0.7577393128482104
12/2010,0.9206392622189251
01/2011,0.8744319009754267
02/2011,1.0476408016038847
03/2011,1.2419556497461328
04/2011,1.0675267294390758
05/2011,1.0169274087332116
06/2011,0.9679751006708823
07/2011,0.8667764654469648
08/2011,0.8328910832900402
09/2011,0.754384365471796
10/2011,0.8286515821993489
11/2011,0.8647939497122442
12/2011,0.8598224646595412
01/2012,0.9457406450095804
02/2012,1.0172629551390715
03/2012,1.107024062891817
04/2012,1.008722947332901
05/2012,1.033549875971833
06/2012,0.9014243436600111
07/2012,0.8819653809446082
08/2012,1.0822581553471997
09/2012,0.8850153992020526
10/2012,0.8991673057076499
11/2012,0.9929239972447156
12/2012,0.9993900365692792
01/2013,1.0784151815359138
02/2013,0.9827370355792109
03/2013,1.0111934276243868
04/2013,1.033092380194503
05/2013,1.1451489244820958
06/2013,1.0645682474639604
07/2013,1.1746118783972193
08/2013,1.0743587189769235
09/2013,0.99094153101248
10/2013,1.171775324136237
11/2013,1.0408698145969195
12/2013,1.0856131646017204
01/2014,1.1984322327905825
02/2014,1.1329794532696813
03/2014,1.2665385620737233
04/2014,1.2138042579797486
05/2014,1.1440060760834991
06/2014,1.2245267127753015
07/2014,1.3088102127883483
08/2014,1.2437154042989518
09/2014,1.297046615543263
10/2014,1.2473845594163433
11/2014,1.1189014230349372
12/2014,1.3435261259790334
01/2015,1.159668649919781
02/2015,1.1267464778316816
03/2015,1.3158249500307981
04/2015,1.213553026681238
05/2015,1.2707106253104994
06/2015,1.406268681580333
07/2015,1.298937387703999
08/2015,1.1897171470710588
09/2015,1.1676326406242294
10/2015,1.2793403811217339
11/2015,1.2593934229105126
12/2015,1.4231237145867641
01/2016,1.1557075477100762
02/2016,1.1577848947362752
03/2016,1.410208807112075
04/2016,1.3593417491229027
05/2016,1.2421067963019576
06/2016,1.3496737096306373
07/2016,1.284066927879315
08/2016,1.4719179735905343
09/2016,1.3900471318727434
10/2016,1.4334791641473241
11/2016,1.5892708103913795
12/2016,1.6819175077102737
01/2017,1.673027418331124
02/2017,1.7321194812518266
03/2017,2.188742591651482
04/2017,1.9427050072239889
05/2017,2.457628258354877
06/2017,2.2993145223849565
07/2017,2.133625992848906
08/2017,2.4919161668735916
09/2017,2.2854294342727917
10/2017,2.7410331771284455
11/2017,2.875396880758083
12/2017,2.629201977433683
01/2018,3.066290182118339
02/2018,2.620967956862096
03/2018,3.1875164584160003
04/2018,2.7594044588707307
05/2018,2.588538396376529
06/2018,2.599641877985914
07/2018,2.7254238060877745
08/2018,3.0558846360430936
09/2018,2.3219373188522288
10/2018,2.483563408404241
11/2018,2.4053063842135707
12/2018,1.9530754560374628
01/2019,2.223030153652802
02/2019,2.4051641016964416
03/2019,2.687641418157331
04/2019,3.0400657704864646
05/2019,3.227293784110959
06/2019,2.93028993871462
07/2019,3.496825767632398
08/2019,3.7210634725254255
09/2019,3.7010087412168384
10/2019,4.491353843396741
11/2019,4.113503220374865
12/2019,4.511868960190212
01/2020,4.735255977256423
02/2020,4.145260004964227
03/2020,3.8384060066216072
04/2020,4.141061723973904
05/2020,4.013436471843052
06/2020,5.517839795219598
07/2020,6.216047345513085
08/2020,6.049361588419391
09/2020,5.329238892055425
10/2020,6.1535887980430894
11/2020,4.8964633191011355
