Date,Cumulative Returns
02/2006,0.9310311199359665
03/2006,1.0738883322629322
04/2006,0.9685058690253248
05/2006,1.072634285779755
06/2006,0.9782006097666981
07/2006,0.89454451798989
08/2006,1.0703383153239436
09/2006,0.9841027635132028
10/2006,1.1234502663703276
11/2006,1.0810852843290764
12/2006,1.1255789702615018
01/2007,1.1434905447459927
02/2007,1.096297314801087
03/2007,1.2520507457244416
04/2007,1.1169086554817154
05/2007,1.2059997368087858
06/2007,1.2192466450592645
07/2007,1.2675206475796739
08/2007,1.2178925027424068
09/2007,1.033033348085909
10/2007,1.27597260613008
11/2007,1.118798926963608
12/2007,1.0685206685529725
01/2008,1.0049686009007486
02/2008,1.046794858839533
03/2008,1.1079630844955604
04/2008,1.2700129152006265
05/2008,1.2857247960193676
06/2008,1.2699586730432368
07/2008,1.2377533489501613
08/2008,1.220773071937698
09/2008,1.0982162186297582
10/2008,1.0275477174303627
11/2008,0.7726729545396264
12/2008,0.9289657048499634
01/2009,0.8723395084334145
02/2009,0.857897608439008
03/2009,1.0842309270118007
04/2009,1.1531869749215897
05/2009,1.2154072779241751
06/2009,1.2407519898946513
07/2009,1.2821678326969805
08/2009,1.3241194818692203
09/2009,1.3662896717251976
10/2009,1.3318196589583988
11/2009,1.2331619110958758
12/2009,1.4521941363494237
01/2010,1.225942950271227
02/2010,1.125119590877553
03/2010,1.4186865351509614
04/2010,1.3624998012399498
05/2010,1.1935182806026745
06/2010,1.3152764255841094
07/2010,1.3412003368119791
08/2010,1.3590928579998214
09/2010,1.3020666974629984
10/2010,1.383153796990633
11/2010,1.4585572415340553
12/2010,1.682051845282016
01/2011,1.6655061008131848
02/2011,1.54943287265145
03/2011,1.7565712168609457
04/2011,1.5817666482434491
05/2011,1.7871367459124923
06/2011,1.829910227280173
07/2011,1.6468585869814454
08/2011,1.7589439454821334
09/2011,1.6409351203724187
10/2011,1.675422912023945
11/2011,1.7540735371814726
12/2011,1.7808608457172739
01/2012,1.8113996456556345
02/2012,1.8772818539333027
03/2012,2.150617462846501
04/2012,1.99627793745167
05/2012,2.1435092878239494
06/2012,1.8746492375074
07/2012,1.8934953751444659
08/2012,2.246554077152487
09/2012,1.9311896710322358
10/2012,2.222415935628984
11/2012,2.344606961449127
12/2012,2.3199914436654363
01/2013,2.564986973728505
02/2013,2.3834734480070137
03/2013,2.399156361107418
04/2013,2.648516030951223
05/2013,2.9133539198649028
06/2013,2.4753894184664307
07/2013,2.7070204590107263
08/2013,2.5078465940232584
09/2013,2.4284359666091833
10/2013,2.9361591019775903
11/2013,2.4847873092652337
12/2013,2.5451338578351663
01/2014,2.5423302270674633
02/2014,2.324774680513839
03/2014,2.7889026909656267
04/2014,2.9702924058921303
05/2014,3.0104533763588206
06/2014,3.112923045386541
07/2014,3.3535244031458404
08/2014,3.0769078962005074
09/2014,3.1077244005576103
10/2014,3.4249179902304334
11/2014,3.049818007060636
12/2014,3.5175821997889956
01/2015,3.230201422858273
02/2015,3.2859576654529286
03/2015,3.7803096122556887
04/2015,3.5816513978074855
05/2015,3.500812313931407
06/2015,3.7037222180768916
07/2015,3.6628940845852447
08/2015,3.155194089854351
09/2015,3.1188875614742897
10/2015,3.5701682756557362
11/2015,3.3432339125606796
12/2015,3.7315142411109483
01/2016,3.0126299293870584
02/2016,3.4174737393694405
03/2016,4.123787654349992
04/2016,3.924878129224674
05/2016,3.67901393652021
06/2016,4.234597200753377
07/2016,4.181595901360467
08/2016,5.079290602125551
09/2016,4.776939090366776
10/2016,4.982930958520377
11/2016,4.826653413118059
12/2016,4.736738151994641
01/2017,4.624497558383965
02/2017,4.572251431897165
03/2017,5.654916961855472
04/2017,4.73796556159181
05/2017,5.907861233830202
06/2017,6.109216372200588
07/2017,5.656093981876027
08/2017,6.622172368681149
09/2017,5.948571115310439
10/2017,7.038152291864041
11/2017,6.95520974080654
12/2017,6.229007537840486
01/2018,7.239210525793978
02/2018,6.491777693412268
03/2018,7.330946586181015
04/2018,6.878050202749505
05/2018,6.804772523403979
06/2018,6.405025422065421
07/2018,6.700465663827734
08/2018,7.8305534531601655
09/2018,6.898037945170581
10/2018,7.479998048305216
11/2018,6.484498722039428
12/2018,5.728451535814556
01/2019,6.262537785003413
02/2019,6.0202117454690685
03/2019,6.825118476186336
04/2019,7.45462403743699
05/2019,7.405272133960043
06/2019,6.488332857378209
07/2019,7.858271677682845
08/2019,7.745081496273787
09/2019,7.559443847811453
10/2019,9.732533326280466
11/2019,9.08197823625557
12/2019,10.20209013029298
01/2020,10.472563602870153
02/2020,9.229611546208893
03/2020,9.493801899718058
04/2020,9.29972774494986
05/2020,8.914380290981525
06/2020,10.642219320950817
07/2020,13.176440884179106
08/2020,14.602199986277432
09/2020,14.795452480728112
10/2020,16.74450111483165
11/2020,12.124885744674327
