Date,Cumulative Returns
02/2006,0.9336663394262578
03/2006,1.1562353988750105
04/2006,1.0763228035541301
05/2006,1.217106283697926
06/2006,1.0671141266117692
07/2006,0.9394412577105172
08/2006,1.1281181210841533
09/2006,0.9743482866755718
10/2006,1.0715600041672426
11/2006,1.0728348795189062
12/2006,1.0862213879003115
01/2007,1.1066199277398765
02/2007,1.0549861762383208
03/2007,1.1502854686131723
04/2007,1.0404840452008643
05/2007,1.165265629613698
06/2007,1.16032539998169
07/2007,1.1951005975925448
08/2007,1.1915238320361612
09/2007,1.0575101988644906
10/2007,1.120318273390173
11/2007,0.8425758079892139
12/2007,0.7924878469654669
01/2008,0.7554364800724119
02/2008,0.7128959868978934
03/2008,0.7469741224672309
04/2008,0.8620163442260659
05/2008,0.8290818297949661
06/2008,0.7526919324333952
07/2008,0.7020321656102878
08/2008,0.630975220713657
09/2008,0.5478208352035955
10/2008,0.5757080842378649
11/2008,0.4786052412529046
12/2008,0.524078992790329
01/2009,0.49141830065315845
02/2009,0.44632134334027396
03/2009,0.6082431814800277
04/2009,0.750442948389563
05/2009,0.8068455187131885
06/2009,0.7491867728759595
07/2009,0.8096091382314256
08/2009,0.8587258357239282
09/2009,0.9632401345106228
10/2009,0.9893687378258473
11/2009,0.8878692316532504
12/2009,0.9888662676204059
01/2010,0.9539443856274927
02/2010,0.8608613138255807
03/2010,1.0423795949122359
04/2010,0.9997950482485393
05/2010,0.8382500544157893
06/2010,0.8577208738491323
07/2010,0.8285681124990651
08/2010,0.8180245494889198
09/2010,0.7230223224409951
10/2010,0.7570529512160264
11/2010,0.8240830489929268
12/2010,0.8826054359162867
01/2011,0.8349109563841741
02/2011,0.7583419999049671
03/2011,0.8160909895723442
04/2011,0.7160614752609176
05/2011,0.730369832475875
06/2011,0.7302409583719229
07/2011,0.6387264264108161
08/2011,0.634604029104646
09/2011,0.562340910072395
10/2011,0.6097722944973649
11/2011,0.6326509847247432
12/2011,0.6153524373098479
01/2012,0.6640393724100626
02/2012,0.7353259597128454
03/2012,0.8041014623592935
04/2012,0.6973808545577488
05/2012,0.742580189966315
06/2012,0.6050291393607136
07/2012,0.6383416118374186
08/2012,0.7071779813716319
09/2012,0.5711989382212392
10/2012,0.6086403568824862
11/2012,0.5633624015451498
12/2012,0.5770038511316027
01/2013,0.6135745122270897
02/2013,0.5205514964540041
03/2013,0.5325965961229248
04/2013,0.58237334233126
05/2013,0.6733646484829673
06/2013,0.6312793333587147
07/2013,0.7339049318071923
08/2013,0.6586751804120594
09/2013,0.6027893895692688
10/2013,0.7206874374320968
11/2013,0.593823767593862
12/2013,0.6220655289260044
01/2014,0.648215226498038
02/2014,0.5660303039354007
03/2014,0.6419392784753934
04/2014,0.6630085274409592
05/2014,0.6870663854315319
06/2014,0.75042351162382
07/2014,0.8349964566895293
08/2014,0.6983545745146023
09/2014,0.6810463707236956
10/2014,0.7193716614016004
11/2014,0.6348397124098935
12/2014,0.7512063506166833
01/2015,0.7366798699622655
02/2015,0.7277167067973473
03/2015,0.8375928198574506
04/2015,0.7728416315889883
05/2015,0.6997453907701414
06/2015,0.7179808046031144
07/2015,0.6674620437646134
08/2015,0.5868260096379073
09/2015,0.5827845050504157
10/2015,0.6542382604629825
11/2015,0.6165714707142886
12/2015,0.6653928056836363
01/2016,0.5349331386228892
02/2016,0.6487418149871552
03/2016,0.744444554996846
04/2016,0.6810738111441418
05/2016,0.6147931878996454
06/2016,0.6928750187534977
07/2016,0.6597791123901142
08/2016,0.7380137066831878
09/2016,0.6583561551171621
10/2016,0.6593687509903804
11/2016,0.6509304425073774
12/2016,0.6369228591065528
01/2017,0.6159958824964658
02/2017,0.6082326546230963
03/2017,0.7643411874624683
04/2017,0.619033672501
05/2017,0.7494897813219329
06/2017,0.7692354056194488
07/2017,0.8342025971697339
08/2017,0.9422819779894532
09/2017,0.9128958061240472
10/2017,0.9945823747827981
11/2017,0.9510278595772803
12/2017,0.8646185145749175
01/2018,0.9010014117435707
02/2018,0.8032224077986848
03/2018,0.9387836081831922
04/2018,0.9538265296655938
05/2018,1.039536289424212
06/2018,1.06105112922553
07/2018,1.0738469841070024
08/2018,1.172380520913144
09/2018,0.8847156056795266
10/2018,0.9077141933254267
11/2018,0.6802836982696201
12/2018,0.6220570864535222
01/2019,0.6979889606039029
02/2019,0.6366593943431291
03/2019,0.7175195212620136
04/2019,0.7554854416430493
05/2019,0.8268540807158173
06/2019,0.7677148423941584
07/2019,0.9034369768141368
08/2019,0.8609453736638792
09/2019,0.8171749624961041
10/2019,0.966184728204519
11/2019,0.9049061077339042
12/2019,1.069901635465275
01/2020,1.0428781682250112
02/2020,0.9528633055622409
03/2020,0.9802673995279707
04/2020,0.9578112669727198
05/2020,0.9511505568440203
06/2020,1.106059805463874
07/2020,1.319647943936945
08/2020,1.6682850965910898
09/2020,1.7437070310942737
10/2020,2.364087378121103
11/2020,1.6588823572558427
