Date,Cumulative Returns
01/2007,1.7151080134909267
02/2007,2.7842976079266695
03/2007,2.2526985515185807
04/2007,2.140698034778094
01/2008,1.8970042808111582
02/2008,1.4060973485564576
03/2008,1.152563126052923
04/2008,1.442504872481718
05/2008,1.658689908817736
06/2008,1.5852274867561604
07/2008,1.0390677455696329
08/2008,0.923559547381819
09/2008,0.7898652272164945
10/2008,0.6184215226736781
11/2008,0.5086104437522442
12/2008,0.5905714806547309
01/2009,0.5345065189163639
02/2009,0.5228885982373799
03/2009,0.5923724482729126
04/2009,0.7039138497395961
05/2009,0.662115255019673
06/2009,0.783073408634566
07/2009,0.7769171997692506
08/2009,0.8020128420280821
09/2009,0.9580013088777071
10/2009,1.1005002680321014
11/2009,0.969065979409027
12/2009,1.099158385958929
01/2010,1.0099582161804908
02/2010,1.046966050933802
03/2010,1.4417162054221808
04/2010,1.4319581072650012
05/2010,1.4398093141121369
06/2010,1.774033336517918
07/2010,1.7943852740852893
08/2010,2.0433288573481407
09/2010,2.110281943825283
10/2010,1.9266199807492554
11/2010,1.9703725382700794
12/2010,2.2770761623316464
01/2011,2.158519214192311
02/2011,1.9620622756067285
03/2011,2.1828261893916054
04/2011,2.0666352964832333
05/2011,2.3185451485108652
06/2011,2.4465187515041764
07/2011,2.4248720384885187
08/2011,2.376599353020372
09/2011,2.190689217488153
10/2011,2.27678186889521
11/2011,2.398516879130699
12/2011,2.1956565259499277
01/2012,2.0527455716597047
02/2012,2.2875169471015324
03/2012,2.732058171681894
04/2012,2.6086752025240307
05/2012,2.641315990996502
06/2012,2.234947899613433
07/2012,2.1742570213667616
08/2012,2.528232621864746
09/2012,2.1612501011792484
10/2012,2.2107468778347945
11/2012,2.188711668943399
12/2012,2.201624429933492
01/2013,2.2859278674063392
02/2013,1.6761932712118675
03/2013,1.8383026318225402
04/2013,1.9479842269831251
05/2013,1.939261955670857
06/2013,1.6267200397609116
07/2013,1.88431523710132
08/2013,2.1833441190297678
09/2013,2.0241186784253973
10/2013,2.197928340904944
11/2013,1.8842328451009602
12/2013,2.1404273189776615
01/2014,2.3271614609972437
02/2014,2.098334449739625
03/2014,2.613936788206536
04/2014,2.5060561741772207
05/2014,2.3374257324059955
06/2014,2.36571132827845
07/2014,2.493990954068611
08/2014,2.475228096196433
09/2014,2.35983755646613
10/2014,2.394608926502722
11/2014,1.905032092908428
12/2014,2.1276558508360504
01/2015,1.877252675692781
02/2015,1.839797595562196
03/2015,2.1561414836532875
04/2015,2.1105997500349
05/2015,2.059961160682376
06/2015,2.2978282872985245
07/2015,2.19845802152446
08/2015,2.102159961720127
09/2015,1.9628509318557967
10/2015,1.7810488183277495
11/2015,1.3962921653953346
12/2015,1.5081749182762239
01/2016,1.1421811664578685
02/2016,1.1042669710534805
03/2016,1.3099994175859075
04/2016,1.3318580482533473
05/2016,1.4340062535868823
06/2016,1.576611163459315
07/2016,1.530987000003921
08/2016,1.9547054531931658
09/2016,1.8135012884053812
10/2016,1.8271555557777737
11/2016,1.9438055747704193
12/2016,1.9857925122087405
01/2017,1.9473486199691312
02/2017,2.0162321483661425
03/2017,2.459678683090117
04/2017,2.0619975398071957
05/2017,2.44464715638008
06/2017,2.330786914412023
07/2017,2.124136318410518
08/2017,2.6385851256305077
09/2017,2.5591901660393703
10/2017,2.9865693796398074
11/2017,3.0146312744477144
12/2017,2.898640472536477
01/2018,3.2735919314972968
02/2018,2.7209464242544836
03/2018,3.047742945391048
04/2018,3.152233547241017
05/2018,3.5642752437659784
06/2018,3.669319039008642
07/2018,3.791171850940375
08/2018,4.103337081413524
09/2018,3.45426398330972
10/2018,3.9598846793067253
11/2018,3.753304664866639
12/2018,3.5214678456745943
01/2019,4.330822599774905
02/2019,4.451645865745045
03/2019,5.296459849304753
04/2019,5.69643648787816
05/2019,6.163987474448449
06/2019,4.865126079138326
07/2019,5.397318381732043
08/2019,4.632562028790181
09/2019,4.245479643681495
10/2019,5.032992166598005
11/2019,4.687227983227022
12/2019,4.492227355544082
01/2020,4.489832706618839
02/2020,4.117543293569276
03/2020,3.4703796812884184
04/2020,3.8216699393113758
05/2020,3.8642209779070527
06/2020,4.581013468089457
07/2020,4.462017971596306
08/2020,4.204473129427147
09/2020,4.213995099884023
10/2020,4.554204712202988
11/2020,2.9894810717446374
