Date,Cumulative Returns
01/2012,1.6597500459050238
02/2012,1.671721123812947
01/2013,1.7630524633914095
02/2013,1.6063590493955346
03/2013,1.9777338060511116
04/2013,2.102041486840658
05/2013,2.305837111543444
06/2013,2.004692672525546
07/2013,2.346091858136905
08/2013,2.592616238805419
09/2013,2.503950450229689
10/2013,2.9332652288306593
11/2013,2.421381930181291
12/2013,2.710651086461719
01/2014,2.9801918201324096
02/2014,2.9443903525148394
03/2014,3.3466185945762836
04/2014,2.617484160902104
05/2014,2.500774164167347
06/2014,2.7967470583171177
07/2014,2.891462233056964
08/2014,2.9051731383084163
09/2014,2.924151237467128
10/2014,3.09227308288385
11/2014,2.814943123527903
12/2014,2.9154842131075176
01/2015,2.5752023049634385
02/2015,2.696142109349737
03/2015,2.9620437225281075
04/2015,2.9335844648814344
05/2015,2.8400185399243862
06/2015,2.7813442446181798
07/2015,2.855197821410923
08/2015,2.6481780100161663
09/2015,2.3908955753670225
10/2015,2.713603925554929
11/2015,2.6089288295830313
12/2015,2.8482865648865627
01/2016,2.1056647277293052
02/2016,1.793123817428468
03/2016,2.545577905752686
04/2016,2.5857049701034462
05/2016,2.463456316175376
06/2016,2.7370033983508697
07/2016,2.504030262286784
08/2016,3.026815225473594
09/2016,2.9835597452460965
10/2016,2.96277795935609
11/2016,2.791607461409287
12/2016,2.3481189431268863
01/2017,2.535825430109992
02/2017,2.615536887969217
03/2017,3.063893637294274
04/2017,2.5533830353968336
05/2017,3.3141370479330856
06/2017,3.521954979898811
07/2017,3.234712920785976
08/2017,3.773459369893791
09/2017,3.3673365210785233
10/2017,3.778024317555001
11/2017,3.6915771555997208
12/2017,3.2673221253166536
01/2018,3.794001695257287
02/2018,3.665368466444991
03/2018,4.451995979415865
04/2018,4.2484717144894475
05/2018,4.634690612621893
06/2018,4.199805283666557
07/2018,4.37507782177893
08/2018,5.192111767908482
09/2018,4.403904173484374
10/2018,4.825254173971783
11/2018,4.613653413536045
12/2018,4.808063711454154
01/2019,5.624028402522157
02/2019,5.787329765305726
03/2019,6.297297732893702
04/2019,6.507924869040607
05/2019,7.170228724197383
06/2019,6.628306074270498
07/2019,7.552680746529146
08/2019,6.663931940749321
09/2019,5.504445244797573
10/2019,6.085202196156489
11/2019,5.366538461395605
12/2019,5.507701440337892
01/2020,6.039424781571876
02/2020,5.696764659225985
03/2020,4.936537303974647
04/2020,4.740882088968193
05/2020,5.138960238014311
06/2020,6.37541301049904
07/2020,6.577756181192047
08/2020,6.488100815658154
09/2020,7.143748730065531
10/2020,7.799715843990855
11/2020,5.256771602168652
