Date,Cumulative Returns
02/2006,0.922119914027369
03/2006,1.0586120347084917
04/2006,0.8930596925549237
05/2006,1.0696106632330094
06/2006,0.9462067712628286
07/2006,0.7490863006541228
08/2006,0.8777614644140879
09/2006,0.786516581897614
10/2006,0.9536387459481076
11/2006,1.009648652153616
12/2006,0.8876897198726247
01/2007,0.8601630141765542
02/2007,0.8671493581294001
03/2007,1.0152475861539738
04/2007,0.9719306691064953
05/2007,1.1600346978594989
06/2007,1.0352509107810735
07/2007,1.0249232692445256
08/2007,1.0435988057463907
09/2007,0.9026339275921831
10/2007,1.068084329453753
11/2007,0.8695695575506764
12/2007,0.8041187239254417
01/2008,0.7917412105540234
02/2008,0.8052938407000502
03/2008,0.8584262928864083
04/2008,0.9865736454899929
05/2008,1.017998787977042
06/2008,1.0405884003967703
07/2008,0.9759436475003428
08/2008,1.024137759405637
09/2008,0.9114321037737073
10/2008,0.8506021024002676
11/2008,0.5749468847480402
12/2008,0.6864837125408276
01/2009,0.6251132822921797
02/2009,0.6258389734083319
03/2009,0.7825055138587437
04/2009,0.8007964220677997
05/2009,0.7432407949100039
06/2009,0.860468828020567
07/2009,0.8533852387953798
08/2009,0.8754760305745115
09/2009,0.9165573025555187
10/2009,0.9646726515798811
11/2009,0.8665621782971004
12/2009,1.0273225578967762
01/2010,0.8896074537428867
02/2010,0.9065015314882213
03/2010,1.1744335004049316
04/2010,1.089976397435331
05/2010,0.9560977267474273
06/2010,1.088030568454931
07/2010,1.1367123201502163
08/2010,1.1184206923350521
09/2010,1.0592215574900512
10/2010,1.073023485444672
11/2010,1.12182348225309
12/2010,1.2400257846822913
01/2011,1.2237808947822368
02/2011,1.255092573903582
03/2011,1.4924161509219995
04/2011,1.2640783961677835
05/2011,1.4750470487615082
06/2011,1.4976804141702096
07/2011,1.36318396515445
08/2011,1.3849264160093726
09/2011,1.259356654981279
10/2011,1.2715271397849772
11/2011,1.3497750358946323
12/2011,1.3616329209921576
01/2012,1.379249778613298
02/2012,1.485907456657409
03/2012,1.6225585188726734
04/2012,1.4314944056297556
05/2012,1.4732474474926747
06/2012,1.3817885302108999
07/2012,1.3667331843675246
08/2012,1.585208317834651
09/2012,1.3443063013759795
10/2012,1.4323668401361187
11/2012,1.460707385180599
12/2012,1.4620531704905186
01/2013,1.5798100859626458
02/2013,1.480209765508685
03/2013,1.5758860855748742
04/2013,1.6832336900771632
05/2013,1.7881127831011885
06/2013,1.6524325468776149
07/2013,1.9984208607275697
08/2013,2.0716943893708764
09/2013,1.9663902036884229
10/2013,2.2229333159865283
11/2013,1.8721082833643456
12/2013,1.9732708382071797
01/2014,2.0636765803057604
02/2014,1.9802945219818588
03/2014,2.3843140007394172
04/2014,2.2976533982348344
05/2014,2.0714045685968174
06/2014,2.0958612096121123
07/2014,2.170084055759656
08/2014,1.8862501888731629
09/2014,1.947796660090998
10/2014,2.034883231907704
11/2014,1.8156963212718455
12/2014,2.1419213073357475
01/2015,1.7786519270458543
02/2015,1.6947155891871581
03/2015,1.9755812004212194
04/2015,1.9851035253709508
05/2015,1.9930062443386396
06/2015,2.247508422450377
07/2015,2.039176369133012
08/2015,1.9642796247571521
09/2015,1.9479931992862949
10/2015,2.2383130658890433
11/2015,2.1386798732655037
12/2015,2.352657248221273
01/2016,1.920108129748366
02/2016,2.1480571706285136
03/2016,2.332359921135108
04/2016,2.176397800056772
05/2016,2.102731352414452
06/2016,2.313155542119574
07/2016,2.1685705764426055
08/2016,2.748965662323281
09/2016,2.5522234115282325
10/2016,2.4394893841948924
11/2016,2.5175784794100364
12/2016,2.780952721077048
01/2017,2.6782498059958333
02/2017,2.571666315356683
03/2017,3.13079890187264
04/2017,2.534689953207835
05/2017,3.2938859578834654
06/2017,3.3631847199204654
07/2017,3.029433375915419
08/2017,3.3866396786091917
09/2017,3.1525872809428175
10/2017,3.6932983636330556
11/2017,3.5448436328977304
12/2017,3.2002481858179177
01/2018,3.604124680951381
02/2018,3.0490511416841564
03/2018,3.6696818193851395
04/2018,3.313530192030617
05/2018,3.5781406091677135
06/2018,3.4062559254699223
07/2018,3.417090952600549
08/2018,3.9988012627994896
09/2018,3.5228924868954685
10/2018,4.248525959551264
11/2018,4.358170865533928
12/2018,3.9423930698490794
01/2019,4.783976960678297
02/2019,5.358018201215284
03/2019,6.2540878912649
04/2019,6.5253718932570886
05/2019,5.805583384882835
06/2019,5.2881817176159585
07/2019,6.3834120131587495
08/2019,5.570042138586657
09/2019,4.908910163299908
10/2019,5.187887678121791
11/2019,4.5151603778632445
12/2019,4.8266334293341
01/2020,4.989065620346571
02/2020,4.014224010924961
03/2020,4.102353584991605
04/2020,4.37574817529104
05/2020,4.204285926162665
06/2020,5.038262544383464
07/2020,5.461825512433032
08/2020,5.392647353566965
09/2020,5.223316151124052
10/2020,6.159777392967955
11/2020,4.7218368027012705
