Date,Cumulative Returns
01/2014,1.996811714957022
02/2014,2.0814967670291438
03/2014,2.7185367411964014
04/2014,2.7373307717521094
05/2014,2.8456203032620304
06/2014,2.6173508937573424
07/2014,2.955755667723568
01/2015,2.7556214321162535
02/2015,2.609128522725843
03/2015,2.802606551180288
04/2015,2.7136144737610945
05/2015,2.520975495200374
06/2015,2.8667636009730653
07/2015,2.6113658966471167
08/2015,2.4483722985766816
09/2015,2.463362780663794
10/2015,2.4707461764824075
11/2015,2.669929490299326
12/2015,3.2502516824286074
01/2016,2.4907148299470876
02/2016,1.9876384328038177
03/2016,2.451616498230612
04/2016,2.5672893935530725
05/2016,2.794943496957378
06/2016,3.2812394936728717
07/2016,3.1669090397730817
08/2016,3.9028974234459763
09/2016,3.567848742367736
10/2016,3.2621657727067945
11/2016,2.721221592035666
12/2016,2.5489987545263104
01/2017,2.626356410740302
02/2017,2.8357198644491546
03/2017,3.5158295053091067
04/2017,2.9816534143562095
05/2017,3.299474196751298
06/2017,3.3855576475318077
07/2017,3.2155162906701555
08/2017,3.4992169127263364
09/2017,3.176417926947606
10/2017,3.7098668719095236
11/2017,4.052131108955297
12/2017,3.771562793318994
01/2018,4.30590671345428
02/2018,4.365868620465348
03/2018,5.476171760765818
04/2018,5.6134914093404085
05/2018,6.751873776921225
06/2018,6.6580154320272085
07/2018,6.875153790518259
08/2018,8.235988378338545
09/2018,7.383544113422096
10/2018,7.834209583175401
11/2018,6.368105973049238
12/2018,6.091173440711288
01/2019,7.3992616134758915
02/2019,8.09301925232552
03/2019,9.550452950490044
04/2019,9.828280479338746
05/2019,10.65191846700209
06/2019,9.805291412688241
07/2019,11.33001463776448
08/2019,9.668531080922243
09/2019,8.494686260941526
10/2019,8.908378997021181
11/2019,8.395234385226104
12/2019,8.911735089909167
01/2020,9.80797633820835
02/2020,9.21590771428421
03/2020,8.03999327488377
04/2020,8.06896749867487
05/2020,8.695379792020052
06/2020,10.363016025793227
07/2020,11.386005124449804
08/2020,10.501398382705352
09/2020,11.59682290214669
10/2020,13.411063853194795
11/2020,10.296118125200698
